"","Group.ID","Assemblage.ID","Rate.ln"
"98","G6","A6",3.27010021058527
"99","G6","A7",2.32907291178301
"100","G6","A5_A6_A7",3.99369295396329
"101","G6","A5_A6",3.78615277939404
"102","G6","A5_A7",3.33366431853371
"103","G6","A6_A7",3.59682977544935
"104","G7","diff_A1",-0.317647363029826
"105","G7","diff_A2",-0.323871126346258
"106","G7","diff_A3",-0.292920690396545
"107","G7","diff_A4",-0.224790794380055
"108","G7","A1",2.85788331146556
"109","G7","A2",2.62867995792833
"110","G7","A3",2.69721896681869
"111","G7","A4",2.81487642207159
"112","G7","A5",3.3412440123864
"113","G7","A6",2.24969986443503
"114","G7","A7",2.84514109136616
"115","G7","A5_A6_A7",4.18827913401979
"116","G7","A5_A6",3.88783863603276
"117","G7","A5_A7",3.81459184307252
"118","G7","A6_A7",3.63111841508705
"119","G8","diff_A1",-0.317579503651552
"120","G8","diff_A2",-0.257366719523556
"121","G8","diff_A3",-0.332191384144233
"122","G8","diff_A4",-0.180907239059251
"123","G8","A1",2.85406178548533
"124","G8","A2",2.84741483986752
"125","G8","A3",2.57270414809103
"126","G8","A4",2.97437681137328
"127","G8","A5",3.3268978020344
"128","G8","A6",2.91805418125544
"129","G8","A7",2.9630475760261
"130","G8","A5_A6_A7",4.1822626969106
"131","G8","A5_A6",3.83421389092707
"132","G8","A5_A7",3.85245725647643
"133","G8","A6_A7",3.63130643220083
"134","G9","diff_A1",-0.377591523098177
"135","G9","diff_A2",-0.320492661511139
"136","G9","diff_A3",-0.303636951958704
"137","G9","diff_A4",-0.21202208114237
"138","G9","A1",2.46576075070515
"139","G9","A2",2.38044859185874
"140","G9","A3",2.62518773228279
"141","G9","A4",2.6421891951971
"142","G9","A5",3.18020406554076
"143","G9","A6",2.22676782777392
"144","G9","A7",2.96641235889173
"145","G9","A5_A6_A7",3.96164390783851
"146","G9","A5_A6",3.5031977684782
"147","G9","A5_A7",3.76985501983027
"148","G9","A6_A7",3.35312593407136
